prdt_cd,prdt_category,prdt_nm,prdt_cont,prdt_img,prdt_quant,prdt_saldate,prdt_expdate,prdt_price
a1,1,일반예매_[스탠다드 패키지] LYNK-POP : THE 1st VR CONCERT aespa,VR콘서트 일반예매권 1매 + VR콘서트 한정 포토카드 1종 (멤버 랜덤) + 스페셜 티켓 1매 + 입장권 팔찌 1매 + VR 마스크 1매,https://img.megabox.co.kr/SharedImg/store/2023/09/21/NCGmTqVX6Wq51KK1XjUEf692q9N4eYUe_280.jpg,,2023.10.07 ~ 2023.11.21,~ 2023.11.21 사용 가능,"22,000원"
a2,1,일반예매_[카리나 스페셜 패키지] LYNK-POP : THE 1st VR CONCERT aespa,VR콘서트 일반예매권 1매 + VR콘서트 한정 카리나 포토카드 2종 + 렌티큘러카드 1종 세트 + 스페셜 티켓 1매 + 입장권 팔찌 1매 + VR 마스크 1매판매기간,https://img.megabox.co.kr/SharedImg/store/2023/09/25/jcjorRtaBtthdr905C9OAxv1FqOlgnVu_280.jpg,,2023.10.07 ~ 2023.11.21,~ 2023.11.21 사용 가능,"33,000원"
a3,1,일반예매_[윈터 스페셜 패키지] LYNK-POP : THE 1st VR CONCERT aespa,VR콘서트 일반예매권 1매 + VR콘서트 한정 윈터 포토카드 2종 + 렌티큘러카드 1종 세트 + 스페셜 티켓 1매 + 입장권 팔찌 1매 + VR 마스크 1매,https://img.megabox.co.kr/SharedImg/store/2023/09/25/FTxscbRH9k86VsZBE2Aiow5sIGHo5osY_280.jpg,,2023.10.07 ~ 2023.11.21,~ 2023.11.21 사용 가능,"33,000원"
a4,1,일반예매_[지젤 스페셜 패키지] LYNK-POP : THE 1st VR CONCERT aespa,VR콘서트 일반예매권 1매 + VR콘서트 한정 지젤 포토카드 2종 + 렌티큘러카드 1종 세트 + 스페셜 티켓 1매 + 입장권 팔찌 1매 + VR 마스크 1매,https://img.megabox.co.kr/SharedImg/store/2023/09/25/FTxscbRH9k86VsZBE2Aiow5sIGHo5osY_280.jpg,,2023.10.07 ~ 2023.11.21,~ 2023.11.21 사용 가능,"33,000원"
a5,1,일반예매_[윈터 스페셜 패키지] LYNK-POP : THE 1st VR CONCERT aespa,VR콘서트 일반예매권 1매 + VR콘서트 한정 윈터 포토카드 2종 + 렌티큘러카드 1종 세트 + 스페셜 티켓 1매 + 입장권 팔찌 1매 + VR 마스크 1매,https://img.megabox.co.kr/SharedImg/store/2023/09/25/Ls9yw5gOiKIIoFy93jVbXkTz7LWvvWxm_280.jpg,,2023.10.07 ~ 2023.11.21,~ 2023.11.21 사용 가능,"33,000원"
a6,1,메가박스 만춘쿠키 패키지,"메가박스 만춘쿠키 + 1인패키지(관람권 1매, 싱글콤보)",https://img.megabox.co.kr/SharedImg/store/2023/09/22/qlpKQBU8cKWyqF8240KGO4a6q6pDNzPt_280.jpg,1775,2023.09.22 ~ 2023.10.18,~ 2023.10.09 사용 가능,"29,000원"
a7,1,메가박스 스타벅스 숄더백 세트,영화관람권 4매 + 영화초대권 1매 + 숄더백 1개,https://img.megabox.co.kr/SharedImg/store/2023/09/04/5CjXU0AkfSO0k86CYhEEU6rzFwTnNFGS_280.png,4000,2023.09.11 ~ 2023.10.31,~ 2023.11.30 사용 가능,"48,000원"
a8,1,[얼리버드]오리지널티켓북패키지,오리지널티켓북시즌3콤보 + 일반관람권,https://img.megabox.co.kr/SharedImg/store/2023/08/11/fxYyMkyv9cCV1OubKEzZenjQbqZwi0xp_280.png,1000,2023.08.11 ~ 2023.11.30,~ 2023.11.30 사용 가능,"30,000원"
a9,1,[얼리버드]돌비시네마에디션패키지,오티북시즌3돌비에디션콤보 + 돌비시네마관람권,https://img.megabox.co.kr/SharedImg/store/2023/08/11/TdKuKOGSh9PRGYOC8E22sGyT3EUTS57r_280.png,500,2023.08.11 ~ 2023.11.30,~ 2023.11.30 사용 가능,"35,000원"
a10,1,일반관람권(2D),일반 관람권,https://img.megabox.co.kr/SharedImg/store/2020/12/29/OzjTPmOIAocfyQnas3x8Vo9JDRRnHeKf_280.png,,,구매일로부터 24개월 이내 사용 가능,"12,000원"
a11,1,더 부티크 전용관람권,2D 더 부티크 전용 관람권,https://img.megabox.co.kr/SharedImg/store/2020/12/29/rxCDUuqHT9RostRRQYeu1mr1knFyHxWr_280.png,,,구매일로부터 24개월 이내 사용 가능,"15,000원"
a12,1,더 부티크 스위트 전용관람권,더 부티크 스위트 전용 관람권,https://img.megabox.co.kr/SharedImg/store/2020/12/29/M8qiScDr6orSchgFPCRCcCtLPVenv6tm_280.png,,,구매일로부터 24개월 이내 사용 가능,"40,000원"
a13,1,MX 전용관람권,2D MX 전용 관람권,https://img.megabox.co.kr/SharedImg/store/2020/12/29/Yk3B0T93JXWbbjrrwVxbmTT9Iij5Tszv_280.png,,,구매일로부터 24개월 이내 사용 가능,"16,000원"
a14,1,Dolby Cinema 전용관람권,Dolby Cinema 전용 관람권(2D),https://img.megabox.co.kr/SharedImg/store/2021/02/04/XxKX38rQAArz5GGaFCs7KwvYyUz5oQFC_280.png,,,구매일로부터 24개월 이내 사용 가능,"17,000원"
a15,1,싱글패키지,2D 일반관람권 1매 + 팝콘(R)1 + 탄산음료(R)1,https://img.megabox.co.kr/SharedImg/store/2020/12/29/LcfHznA71yOkp20xbVjUBC1AhUCPzDz3_280.png,,,구매일로부터 24개월 이내 사용 가능,"18,000원"
a16,1,러브콤보패키지,2D 일반관람권 2매 + 러브콤보 [팝콘(L)1 + 탄산음료(R)2],https://img.megabox.co.kr/SharedImg/store/2020/12/29/ZVX4FRDP8NLYto5HL0gAtxr6u4ZCmwOP_280.png,,,구매일로부터 24개월 이내 사용 가능,"30,000원"
a17,1,패밀리패키지,2D 일반관람권 3매 + 팝콘(R)2 + 탄산음료(R)2,https://img.megabox.co.kr/SharedImg/store/2020/12/29/iw12z1zrsm4xQUDQsSjBcEoPMiFFRkEl_280.png,,,구매일로부터 24개월 이내 사용 가능,"43,000원"
b1,2,[얼리버드]티켓북단품패키지,오지지널 티켓북 시즌3 1개 + 돌비에디션티켓북 1개,https://img.megabox.co.kr/SharedImg/store/2023/08/11/dXvz69A1OdVWu2MtYqXiJeuATZwA3PHm_280.png,500,2023.08.11 ~ 2023.11.30,~ 2023.11.30 사용 가능,"40,000원"
b2,2,메가박스 미니 시네마 (단품),미니 시네마 (단품),https://img.megabox.co.kr/SharedImg/store/2023/07/13/hApRC44t2qBnFmLMlpthyuJTLlsC2qzz_280.jpg,1835,,~ 2023.10.31 사용 가능,"23,000원"
b3,2,메가박스 미니 시네마(러브콤보 세트),미니 시네마+팝콘L 1+콜라R 2,https://img.megabox.co.kr/SharedImg/store/2023/07/13/muo0f1sDqziR7MdCuNZiO7cQb5qDrdmP_280.jpg,1835,,~ 2023.10.31 사용 가능,"28,000원"
b4,2,러브콤보,팝콘(L) 1 + 탄산음료(R) 2,https://img.megabox.co.kr/SharedImg/store/2022/03/07/qB1IVqlOLCV7hOOEAJp4J9iG3J5oVWjv_280.png,,,구매일로부터 92일 이내 사용 가능,"10,000원"
b5,2,더블콤보,팝콘(R) 2 + 탄산음료(R) 2,https://img.megabox.co.kr/SharedImg/store/2022/03/07/ERDC5wGVMC0YZPIRUsuuaJuAGRyqeDjC_280.png,,,구매일로부터 92일 이내 사용 가능,"13,000원"
c1,3,메가박스 금액권(2만원권),메가박스 금액권(2만원권),https://img.megabox.co.kr/SharedImg/store/2022/09/02/OLQpuZPJ5wuIR9BqZK4sDRKN0t2O3sWV_280.png,,,구매일로부터 366일 이내 사용 가능,"20,000원"
c2,3,메가박스 금액권(3만원권),메가박스 금액권(3만원권),https://img.megabox.co.kr/SharedImg/store/2022/09/02/UhUaGPc8CkaIn0wdjvdz6yhunnOzYdaP_280.png,,,구매일로부터 366일 이내 사용 가능,"30,000원"
c3,3,메가박스 금액권(5만원권),메가박스 금액권(5만원권),https://img.megabox.co.kr/SharedImg/store/2022/09/02/SvDPUHovAC2t5VdkHNby25qYMYGNp3tN_280.png,,,구매일로부터 366일 이내 사용 가능,"50,000원"
d1,4,[100P럭키딜] 오리지널 티켓북 시즌3 (10명),오리지널 티켓북 시즌3 (10명),https://img.megabox.co.kr/SharedImg/store/2023/10/17/UgmTWsx2jYCYqG5MtIbhuMR0UkBvE1ZH_280.png,,2023.10.18 ~ 2023.10.31,~ 2023.10.31 사용 가능,100P
