TITLE,DIRECTOR,ACTOR,GENRE,SPECTATORS,RUNTIME,OPENDATE,IMGLINK,MOVIECONTENT
그대들은 어떻게 살 것인가 ,미야자키하야오,"산토키소마,스다마사키,시바사키코우,아이묭,기무라요시노,기무라타쿠야",애니메이션,전체관람가,124분,2023.10.25,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87433/87433_1000.jpg,"화재로 어머니를 잃은 11살 소년 ‘마히토’는 아버지와 함께 어머니의 고향으로 간다. 어머니에 대한 그리움과 새로운 보금자리에 적응하느라 힘들어하던 ‘마히토’ 앞에 정체를 알 수 없는 왜가리 한 마리가 나타나고, 저택에서 일하는 일곱 할멈으로부터 왜가리가 살고 있는 탑에 대한 신비로운 이야기를 듣게 된다. 그러던 어느 날, ‘마히토’는 사라져버린 새엄마 ‘나츠코’를 찾기 위해 탑으로 들어가고, 왜가리가 안내하는 대로 이세계(異世界)의 문을 통과하는데…!"
바람 따라 만나리 : 김호중의 계절 ,,,,전체관람가,107분,2023.10.18,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87422/87422_1000.jpg,"3개월간 전국 6개 도시에서 10만 아리스와 함께했던 김호중의 첫 전국 투어 콘서트, 아리스트라!  제대 후 일년간 쉬지 않고 달려온 김호중이 지친 몸과 마음을 달래기 위해 떠난 여행  대규모 오케스트라와 김호중의 천상의 목소리, 그리고 아리스의 환호가 공연장을 가득 채웠던 감동적인 콘서트 장면과 고군산도의 눈부신 풍경을 따라 여행하는 김호중의 행복한 순간이 스크린X 파노라마 뷰로 펼쳐진다."
플라워 킬링 문 ,마틴스코세이지,"레오나르도디카프리오,로버트드니로,릴리글래드스톤","범죄,드라마",청소년관람불가,205분,2023.10.19,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87444/87444_1000.jpg,"‘플라워 킬링 문’은 진정한 사랑과 말할 수 없는 배신이 교차하는 서부 범죄극으로 ‘어니스트 버크하트’(레오나르도 디카프리오)와 ‘몰리 카일리’(릴리 글래드스톤)의 이루어질 수 없는 로맨스를 중심으로 오세이지족에게 벌어진 끔찍한 비극 실화를 그려낸다. 데이비드 그랜 작가의 베스트셀러 소설을 원작으로 아카데미를 수상한 거장 마틴 스코세이지 감독이 연출과 각본을 맡았으며, 에릭 로스가 각본에 함께 참여했다."
익스펜더블 4 ,스캇워프,"제이슨스타뎀,실베스터스탤론,메간폭스,50센트,토니자,돌프룬드그렌,이코우웨이스,랜디커투어,앤디가르시아",액션,청소년관람불가,103분,2023.10.18,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87358/87358_1000.jpg,테러 단체에게 핵미사일이 탈취되어 3차 세계대전이 발발할 위기의 상황에 ‘리’(제이슨 스타뎀)를 새로운 리더로 맞은 무적의 팀 익스펜더블이 작전에 투입되는데...
30일,남대중,"장성욱,김성훈",,12세이상관람가,119분,2023.10.03,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87407/87407_1000.jpg,"“완벽한 저에게 신은 저 여자를 던지셨죠” 지성과 외모 그리고 찌질함까지 타고난, '정열'(강하늘).  “모기 같은 존재죠. 존재의 이유를 모르겠는?” 능력과 커리어 그리고 똘기까지 타고난, '나라'(정소민).  영화처럼 만나 영화같은 사랑을 했지만 서로의 찌질함과 똘기를 견디다 못해 마침내 완벽한 남남이 되기로 한다.  그러나! 완벽한 이별을 딱 D-30 앞둔 이들에게 찾아온 것은... 동반기억상실?  올 추석, 기억도 로맨스도 날리고 웃음만 남긴 이들의 제대로 터지는 코미디가 온다!"
용감한 시민 ,박진표,"신혜선,이준영",,15세이상관람가,112분,2023.10.25,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87410/87410_1000.jpg,"불의는 못 본 척, 성질은 없는 척, 주먹은 약한 척 먹고 살기 위해 조용히 살아 온 기간제 교사 '소시민’.  법도 경찰도 무서울 것 하나 없는 안하무인 절대권력 '한수강'의 선을 넘는 행동을 목격하게 된다.  그의 계속되는 악행을 도저히 참을 수 없었던 그녀, 정체를 숨긴 채 통쾌한 한 방을 날리기로 마음 먹는데…  ""선은 네가 먼저 넘었다 말이 안 통하면 혼나야지!"""
오픈 더 도어 ,장항준,"이순원,서영주,김수진,강애심","미스터리,스릴러",15세이상관람가,71분,2023.10.25,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87438/87438_1000.jpg,"이른 새벽, 미국 뉴저지의 한 세탁소에서 총성이 울려 퍼진다. 살인 사건은 세간을 떠들썩하게 하지만 범인이 잡히지 않은 채 서서히 잊혀진다. 7년 후, 행복했던 가족의 과거를 추억하던 두 남자는 술을 마시던 중 숨겨진 비밀을 마주하게 되는데…  절대 열어서는 안 되는 판도라의 상자, 당신은 여시겠습니까?"
화사한 그녀,이승준,"엄정화,송새벽,방민아,박호산,손병호,김재화",,12세이상관람가,121분,2023.10.11,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87305/87305_1000.jpg,인생 역전 한방을 꿈꾸는 화사한 작전꾼 ‘지혜’ 매번 허당한 실력으로 허탕만 치던 그녀에게 600억이라는 일생일대의 기회가 찾아왔다!  실패는 사치다!라는 모토 아래 영혼까지 끌어 모은 마지막 작전을 시작하는데…
사나-저주의 아이,시미즈다카시,호시토모코,호러,15세이상관람가,102분,2023.10.04,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87355/87355_1000.jpg,"“내 노래를 들어줘…”  방송국 창고에서 발견된 오래된 카세트테이프. 그 안에 담긴 정체불명의 허밍 소리를 들은 방송국 관계자들이 실종되기 시작하고, 인기 아이돌 ‘제너레이션즈’ 마저 테이프를 접한 후 저주 같은 공포에 시달린다. 급기야 콘서트를 앞두고 멤버가 실종되는 사태에 이르는데… 매니저는 상황을 해결하기 위해 급히 탐정을 고용하고 테이프에 얽힌 한 소녀의 미스터리한 사연을 마주한다.  모든 것은 카세트테이프에서 시작됐다! 재생하는 순간, 봉인된 ‘저주의 멜로디’가 깨어난다!"
팀 버튼의 크리스마스 악몽 ,헨리셀릭,"대니엘프먼,크리스서랜던,캐서린오하라,윌리엄히키,글렌샤딕스,폴루벤스","가족,환타지,애니메이션,뮤지컬",전체관람가,77분,2023.10.18(재개봉),https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87500/87500_1000.jpg,"반복되는 할로윈 준비가 지겨운 호박 왕 잭은 모두에게 즐거운 크리스마스를 전하고 싶다. 하지만 잭의 신나는 임무는 산타를 위험에 빠뜨리고, 온 세상의 착한 아이들에게는 악몽이 되고 만다!"
화란,김창훈,"홍사빈,송중기,김형서",드라마,15세이상관람가,124분,2023.10.11,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87408/87408_1000.jpg,영화 <화란> 은 지옥 같은 현실에서 벗어나고 싶은 연규가 조직의 중간 보스 치건을 만나 위태로운 세계에 함께 하게 되며 펼쳐지는 이야기를 그린 느와르 드라마
믿을 수 있는 사람 ,곽은미,"이설,오경화,박세현,우정원,이노아",드라마,12세이상관람가,94분,2023.10.18,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87405/87405_1000.jpg,"“안녕하세요, 제 이름은 박한영입니다. 성의를 다해 가이드할 테니, 저를 믿으시고 즐겁게 보내시기 바랍니다”  눈 뜨고 코 베인다는 서울에서, 안락한 정착을 꿈꾸는 20대 한영.  관광통역안내사 자격증을 취득 후, 이제 정말 돈만 벌면 될 줄 알았는데... 중국 여행객을 상대로 한 가이드 업무는 마음 같지 않고, 심지어 유일하게 의지했던 친구 정미마저 서울살이 청산을 선언한다.  열심히 살아도 마음 같지 않은 서울살이, 이대로 끝…?  당신의 여행은 제가 가이드할게요, 그런데... 제 인생은 누가 가이드해 주죠?"
