brand,theatername,theaternum,movietitle,movieruntime,moviedate,moviestarttime,theaterseatcnt
CGV,CGV 강남,3관 8층,30일,119분,20231017,16:30,145석
CGV,CGV 강남,3관 8층,30일,119분,20231017,19:00,126석
CGV,CGV 강남,3관 8층,30일,119분,20231017,21:30,162석
CGV,CGV 강남,3관 8층,30일,119분,20231017,24:00,166석
CGV,CGV 강남,5관 10층(Laser),30일,119분,20231017,22:40,165석
CGV,CGV 강남,4관 8층,화사한그녀,121분,20231017,17:30,120석
CGV,CGV 강남,4관 8층,화사한그녀,121분,20231017,20:00,116석
CGV,CGV 강남,4관 8층,화사한그녀,121분,20231017,22:30,120석
CGV,CGV 강남,6관 10층 (Laser),사나-저주의아이,102분,20231017,18:00,109석
CGV,CGV 강남,6관 10층 (Laser),사나-저주의아이,102분,20231017,23:00,119석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),화란,124분,20231017,17:15,119석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),화란,124분,20231017,19:50,112석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),화란,124분,20231017,22:20,120석
CGV,CGV 강남,1관 6층,1947보스톤,108분,20231017,18:40,149석
CGV,CGV 강남,5관 10층(Laser),1947보스톤,108분,20231017,15:50,165석
CGV,CGV 강남,5관 10층(Laser),천박사퇴마연구소-설경의비밀,98분,20231017,18:20,163석
CGV,CGV 강남,5관 10층(Laser),천박사퇴마연구소-설경의비밀,98분,20231017,20:30,164석
CGV,CGV 강남,1관 6층,크리에이터,133분,20231017,21:00,150석
CGV,CGV 강남,1관 6층,더넌2,110분,20231017,23:40,152석
CGV,CGV 강남,1관 6층,"여름을향한터널,이별의출구",83분,20231017,16:50,143석
CGV,CGV 강남,6관 10층 (Laser),더퍼스트슬램덩크,124분,20231017,20:20,106석
CGV,CGV 강남,6관 10층 (Laser),플로라앤썬,97분,20231017,15:40,111석
CGV,CGV 강변,씨네앤포레 (Laser),30일,119분,20231017,17:30,48석
CGV,CGV 강변,씨네앤포레 (Laser),30일,119분,20231017,20:10,47석
CGV,CGV 강변,2관 [LCK관](Laser),30일,119분,20231017,16:00,209석
CGV,CGV 강변,2관 [LCK관](Laser),30일,119분,20231017,18:30,203석
CGV,CGV 강변,2관 [LCK관](Laser),30일,119분,20231017,20:55,206석
CGV,CGV 강변,7관 (Laser),30일,119분,20231017,19:35,136석
CGV,CGV 강변,7관 (Laser),30일,119분,20231017,22:00,134석
CGV,CGV 강변,6관 (Laser),화사한그녀,121분,20231017,17:00,132석
CGV,CGV 강변,6관 (Laser),화사한그녀,121분,20231017,19:30,133석
CGV,CGV 강변,6관 (Laser),화사한그녀,121분,20231017,22:00,110석
CGV,CGV 강변,9관 (Laser),사나-저주의아이,102분,20231017,17:10,152석
CGV,CGV 강변,9관 (Laser),사나-저주의아이,102분,20231017,21:40,151석
CGV,CGV 강변,"8관 (컴포트석, Laser)",화란,124분,20231017,16:35,80석
CGV,CGV 강변,"8관 (컴포트석, Laser)",화란,124분,20231017,19:05,78석
CGV,CGV 강변,"8관 (컴포트석, Laser)",화란,124분,20231017,21:50,80석
CGV,CGV 강변,10관 (Laser),화란,124분,20231017,20:30,177석
CGV,CGV 강변,10관 (Laser),화란,124분,20231017,17:55,177석
CGV,CGV 강변,4DX관 (Laser),1947보스톤,108분,20231017,15:55,108석
CGV,CGV 강변,9관 (Laser),1947보스톤,108분,20231017,19:20,150석
CGV,CGV 강변,4DX관 (Laser),천박사퇴마연구소-설경의비밀,98분,20231017,18:10,108석
CGV,CGV 강변,4DX관 (Laser),천박사퇴마연구소-설경의비밀,98분,20231017,20:20,108석
CGV,CGV 강변,3관 (Laser),천박사퇴마연구소-설경의비밀,98분,20231017,16:55,211석
CGV,CGV 강변,3관 (Laser),천박사퇴마연구소-설경의비밀,98분,20231017,19:10,211석
CGV,CGV 강변,3관 (Laser),천박사퇴마연구소-설경의비밀,98분,20231017,21:20,211석
CGV,CGV 강변,7관 (Laser),만강홍-사라진밀서,158분,20231017,16:25,133석
CGV,CGV 강변,"5관 (컴포트석, Laser)",거미집,132분,20231017,17:50,80석
CGV,CGV 강변,"5관 (컴포트석, Laser)",크리에이터,133분,20231017,20:35,80석
CGV,CGV 강변,전도연관[CGV아트하우스](Laser),서칭포슈가맨,86분,20231017,17:05,71석
CGV,CGV 강변,전도연관[CGV아트하우스](Laser),영혼의줄리에타,145분,20231017,19:00,68석
CGV,CGV 강변,전도연관[CGV아트하우스](Laser),스크래퍼,84분,20231017,21:55,71석
CGV,CGV 건대입구,5관 4층,30일,119분,20231017,17:15,170석
CGV,CGV 건대입구,5관 4층,30일,119분,20231017,19:40,177석
CGV,CGV 건대입구,5관 4층,30일,119분,20231017,22:05,171석
CGV,CGV 건대입구,3관 4층,화사한그녀,121분,20231017,17:05,143석
CGV,CGV 건대입구,3관 4층,화사한그녀,121분,20231017,19:35,147석
CGV,CGV 건대입구,3관 4층,화사한그녀,121분,20231017,22:05,147석
CGV,CGV 건대입구,1관 3층,사나-저주의아이,102분,20231017,16:30,128석
CGV,CGV 건대입구,1관 3층,사나-저주의아이,102분,20231017,21:00,131석
CGV,CGV 건대입구,4관 4층,화란,124분,20231017,17:00,122석
CGV,CGV 건대입구,4관 4층,화란,124분,20231017,19:30,119석
CGV,CGV 건대입구,4관 4층,화란,124분,20231017,22:00,123석
CGV,CGV 건대입구,2관 3층,천박사퇴마연구소-설경의비밀,98분,20231017,16:00,147석
CGV,CGV 건대입구,2관 3층,천박사퇴마연구소-설경의비밀,98분,20231017,20:10,149석
CGV,CGV 건대입구,1관 3층,더넌2,110분,20231017,18:40,134석
CGV,CGV 건대입구,2관 3층,잠,94분,20231017,18:05,143석
CGV,CGV 건대입구,2관 3층,잠,94분,20231017,22:15,149석
CGV,CGV 구로,6관 8층 (Laser),30일,119분,20231017,16:00,174석
CGV,CGV 구로,6관 8층 (Laser),30일,119분,20231017,18:30,172석
CGV,CGV 구로,6관 8층 (Laser),30일,119분,20231017,21:00,166석
CGV,CGV 구로,"8관 8층 (컴포트석,Laser)",30일,119분,20231017,17:15,132석
CGV,CGV 구로,"8관 8층 (컴포트석,Laser)",30일,119분,20231017,19:45,128석
CGV,CGV 구로,"8관 8층 (컴포트석,Laser)",30일,119분,20231017,22:15,132석
CGV,CGV 구로,5관 8층 (Laser),화사한그녀,121분,20231017,15:50,162석
CGV,CGV 구로,5관 8층 (Laser),화사한그녀,121분,20231017,18:20,158석
CGV,CGV 구로,5관 8층 (Laser),화사한그녀,121분,20231017,20:50,158석
CGV,CGV 구로,10관 8층 (Laser),화사한그녀,121분,20231017,19:35,117석
CGV,CGV 구로,9관 8층,사나-저주의아이,102분,20231017,17:55,120석
CGV,CGV 구로,9관 8층,사나-저주의아이,102분,20231017,22:30,129석
CGV,CGV 구로,1관 6층 (Laser),화란,124분,20231017,18:00,158석
CGV,CGV 구로,1관 6층 (Laser),화란,124분,20231017,20:30,158석
CGV,CGV 구로,1관 6층 (Laser),화란,124분,20231017,23:00,161석
CGV,CGV 구로,9관 8층,1947보스톤,108분,20231017,15:40,128석
CGV,CGV 구로,9관 8층,1947보스톤,108분,20231017,20:05,123석
CGV,CGV 구로,2관 6층 (Laser),천박사퇴마연구소-설경의비밀,98분,20231017,16:55,155석
CGV,CGV 구로,2관 6층 (Laser),천박사퇴마연구소-설경의비밀,98분,20231017,21:05,162석
CGV,CGV 구로,2관 6층 (Laser),천박사퇴마연구소-설경의비밀,98분,20231017,19:00,132석
CGV,CGV 구로,"7관 8층 (컴포트석,Laser)",거미집,132분,20231017,16:40,126석
CGV,CGV 구로,10관 8층 (Laser),크리에이터,133분,20231017,16:15,118석
CGV,CGV 구로,10관 8층 (Laser),크리에이터,133분,20231017,22:00,119석
CGV,CGV 구로,"7관 8층 (컴포트석,Laser)",더넌2,110분,20231017,19:20,131석
CGV,CGV 구로,"7관 8층 (컴포트석,Laser)",더넌2,110분,20231017,21:40,131석
CGV,CGV 대학로,1관 B3층,30일,119분,20231017,16:40,151석
CGV,CGV 대학로,1관 B3층,30일,119분,20231017,19:10,146석
CGV,CGV 대학로,1관 B3층,30일,119분,20231017,21:40,155석
CGV,CGV 대학로,3관 B2층,30일,119분,20231017,17:30,153석
CGV,CGV 대학로,4관 B2층,화사한그녀,121분,20231017,22:00,76석
CGV,CGV 대학로,7관 3층,화사한그녀,121분,20231017,16:00,133석
CGV,CGV 대학로,7관 3층,화사한그녀,121분,20231017,18:30,133석
CGV,CGV 대학로,7관 3층,화사한그녀,121분,20231017,21:00,132석
CGV,CGV 대학로,2관 B3층,사나-저주의아이,102분,20231017,16:40,71석
CGV,CGV 대학로,2관 B3층,사나-저주의아이,102분,20231017,22:20,72석
CGV,CGV 대학로,6관 2층,화란,124분,20231017,16:20,133석
CGV,CGV 대학로,6관 2층,화란,124분,20231017,18:50,132석
CGV,CGV 대학로,6관 2층,화란,124분,20231017,21:20,133석
CGV,CGV 대학로,5관 B1층,1947보스톤,108분,20231017,17:00,75석
CGV,CGV 대학로,3관 B2층,천박사퇴마연구소-설경의비밀,98분,20231017,19:55,150석
CGV,CGV 대학로,3관 B2층,천박사퇴마연구소-설경의비밀,98분,20231017,22:00,155석
CGV,CGV 대학로,4관 B2층,천박사퇴마연구소-설경의비밀,98분,20231017,17:30,74석
CGV,CGV 대학로,2관 B3층,만강홍-사라진밀서,158분,20231017,19:10,68석
CGV,CGV 대학로,5관 B1층,거미집,132분,20231017,19:30,71석
CGV,CGV 대학로,8관 4층 (컴포트석),크리에이터,133분,20231017,18:00,116석
CGV,CGV 대학로,8관 4층 (컴포트석),더넌2,110분,20231017,15:40,106석
CGV,CGV 대학로,8관 4층 (컴포트석),오펜하이머,180분,20231017,20:40,112석
CGV,CGV 대학로,4관 B2층,잠,94분,20231017,19:50,71석
CGV,CGV 동대문,1관 10층,30일,119분,20231017,17:30,121석
CGV,CGV 동대문,1관 10층,30일,119분,20231017,20:00,118석
CGV,CGV 동대문,6관 10층,30일,119분,20231017,16:00,65석
CGV,CGV 동대문,6관 10층,30일,119분,20231017,18:30,64석
CGV,CGV 동대문,6관 10층,30일,119분,20231017,21:00,64석
CGV,CGV 동대문,2관 10층,화사한그녀,121분,20231017,16:30,115석
CGV,CGV 동대문,2관 10층,화사한그녀,121분,20231017,19:00,109석
CGV,CGV 동대문,2관 10층,화사한그녀,121분,20231017,21:30,113석
CGV,CGV 동대문,4관 10층,사나-저주의아이,102분,20231017,18:10,112석
CGV,CGV 동대문,3관 10층,화란,124분,20231017,17:50,65석
CGV,CGV 동대문,3관 10층,화란,124분,20231017,20:20,64석
CGV,CGV 동대문,4관 10층,1947보스톤,108분,20231017,15:40,115석
CGV,CGV 동대문,4관 10층,1947보스톤,108분,20231017,20:30,115석
CGV,CGV 동대문,5관 10층,천박사퇴마연구소-설경의비밀,98분,20231017,17:20,122석
CGV,CGV 동대문,5관 10층,천박사퇴마연구소-설경의비밀,98분,20231017,19:30,120석
CGV,CGV 동대문,5관 10층,천박사퇴마연구소-설경의비밀,98분,20231017,21:40,122석
CGV,CGV 등촌,1관 5층 (Laser),30일,119분,20231017,17:35,159석
CGV,CGV 등촌,1관 5층 (Laser),30일,119분,20231017,20:10,160석
CGV,CGV 등촌,1관 5층 (Laser),30일,119분,20231017,22:45,161석
CGV,CGV 등촌,2관 5층 (Laser),30일,119분,20231017,18:50,125석
CGV,CGV 등촌,2관 5층 (Laser),30일,119분,20231017,21:25,129석
CGV,CGV 등촌,4관 7층 (Laser),화사한그녀,121분,20231017,17:50,162석
CGV,CGV 등촌,4관 7층 (Laser),화사한그녀,121분,20231017,20:25,160석
CGV,CGV 등촌,4관 7층 (Laser),화사한그녀,121분,20231017,23:00,161석
CGV,CGV 등촌,3관 5층 (Laser),사나-저주의아이,102분,20231017,15:45,145석
CGV,CGV 등촌,3관 5층 (Laser),사나-저주의아이,102분,20231017,20:30,141석
CGV,CGV 등촌,3관 5층 (Laser),사나-저주의아이,102분,20231017,22:50,144석
CGV,CGV 등촌,6관 7층 (Laser),화란,124분,20231017,19:00,145석
CGV,CGV 등촌,6관 7층 (Laser),화란,124분,20231017,21:40,145석
CGV,CGV 등촌,3관 5층 (Laser),1947보스톤,108분,20231017,18:05,144석
CGV,CGV 등촌,5관 7층 (Laser),천박사퇴마연구소-설경의비밀,98분,20231017,20:20,129석
CGV,CGV 등촌,5관 7층 (Laser),만강홍-사라진밀서,158분,20231017,16:55,131석
CGV,CGV 등촌,6관 7층 (Laser),거미집,132분,20231017,16:10,144석
CGV,CGV 등촌,5관 7층 (Laser),크리에이터,133분,20231017,22:35,133석
CGV,CGV 등촌,2관 5층 (Laser),퍼피구조대-더마이티무비,93분,20231017,16:30,129석
CGV,CGV 명동,1관 (Laser),30일,119분,20231017,18:30,119석
CGV,CGV 명동,1관 (Laser),30일,119분,20231017,21:00,127석
CGV,CGV 명동,5관,30일,119분,20231017,17:40,171석
CGV,CGV 명동,5관,30일,119분,20231017,20:10,174석
CGV,CGV 명동,3관,화사한그녀,121분,20231017,17:20,127석
CGV,CGV 명동,3관,화사한그녀,121분,20231017,19:50,127석
CGV,CGV 명동,4관,사나-저주의아이,102분,20231017,20:30,125석
CGV,CGV 명동,4관,화란,124분,20231017,18:00,127석
CGV,CGV 명동,1관 (Laser),천박사퇴마연구소-설경의비밀,98분,20231017,16:20,125석
CGV,CGV 명동,2관 (Laser),천박사퇴마연구소-설경의비밀,98분,20231017,18:50,119석
CGV,CGV 명동,2관 (Laser),천박사퇴마연구소-설경의비밀,98분,20231017,21:00,123석
CGV,CGV 명동,2관 (Laser),거미집,132분,20231017,16:10,123석
CGV,CGV 명동역 씨네라이브러리,3관 11층,30일,119분,20231017,17:00,164석
CGV,CGV 명동역 씨네라이브러리,3관 11층,30일,119분,20231017,19:30,165석
CGV,CGV 명동역 씨네라이브러리,4관 11층,화사한그녀,121분,20231017,19:30,112석
CGV,CGV 명동역 씨네라이브러리,4관 11층,화란,124분,20231017,17:00,111석
CGV,CGV 명동역 씨네라이브러리,5관 11층,천박사퇴마연구소-설경의비밀,98분,20231017,20:20,147석
