brand,theatername,theaternum,movietitle,movieruntime,moviedate,moviestarttime,theaterseatcnt
CGV,CGV 강남,1관 6층,용감한시민,112분,20231025,14:20,148석
CGV,CGV 강남,1관 6층,용감한시민,112분,20231025,16:40,142석
CGV,CGV 강남,1관 6층,용감한시민,112분,20231025,19:00,117석
CGV,CGV 강남,1관 6층,용감한시민,112분,20231025,21:20,150석
CGV,CGV 강남,1관 6층,용감한시민,112분,20231025,23:40,152석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),그대들은어떻게살것인가,124분,20231025,24:15,109석
CGV,CGV 강남,3관 8층,그대들은어떻게살것인가,124분,20231025,12:05,108석
CGV,CGV 강남,3관 8층,그대들은어떻게살것인가,124분,20231025,14:40,97석
CGV,CGV 강남,3관 8층,그대들은어떻게살것인가,124분,20231025,17:15,45석
CGV,CGV 강남,3관 8층,그대들은어떻게살것인가,124분,20231025,19:50,30석
CGV,CGV 강남,3관 8층,그대들은어떻게살것인가,124분,20231025,22:30,145석
CGV,CGV 강남,5관 10층(Laser),그대들은어떻게살것인가,124분,20231025,15:30,98석
CGV,CGV 강남,5관 10층(Laser),그대들은어떻게살것인가,124분,20231025,18:10,48석
CGV,CGV 강남,5관 10층(Laser),그대들은어떻게살것인가,124분,20231025,20:45,52석
CGV,CGV 강남,5관 10층(Laser),그대들은어떻게살것인가,124분,20231025,23:20,163석
CGV,CGV 강남,4관 8층,오픈더도어,71분,20231025,17:40,116석
CGV,CGV 강남,6관 10층 (Laser),오픈더도어,71분,20231025,12:10,120석
CGV,CGV 강남,6관 10층 (Laser),오픈더도어,71분,20231025,22:20,120석
CGV,CGV 강남,4관 8층,30일,119분,20231025,19:20,58석
CGV,CGV 강남,4관 8층,30일,119분,20231025,22:00,116석
CGV,CGV 강남,5관 10층(Laser),더킬러,118분,20231025,13:00,163석
CGV,CGV 강남,6관 10층 (Laser),더킬러,118분,20231025,24:00,120석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),플라워킬링문,205분,20231025,11:50,79석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),플라워킬링문,205분,20231025,20:20,97석
CGV,CGV 강남,4관[SCREENX] 8층,바람따라만나리:김호중의계절,107분,20231025,13:05,111석
CGV,CGV 강남,4관[SCREENX] 8층,바람따라만나리:김호중의계절,107분,20231025,15:20,114석
CGV,CGV 강남,6관 10층 (Laser),라라랜드,127분,20231025,14:00,117석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),엑소시스트-믿는자,111분,20231025,18:00,115석
CGV,CGV 강남,1관 6층,1947보스톤,108분,20231025,12:00,150석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),사나-저주의아이,102분,20231025,15:45,118석
CGV,CGV 강남,6관 10층 (Laser),암살,140분,20231025,16:40,119석
CGV,CGV 강남,6관 10층 (Laser),신세계,134분,20231025,19:30,113석
CGV,CGV 강변,10관 (Laser),용감한시민,112분,20231025,12:40,149석
CGV,CGV 강변,10관 (Laser),용감한시민,112분,20231025,15:00,175석
CGV,CGV 강변,10관 (Laser),용감한시민,112분,20231025,17:20,178석
CGV,CGV 강변,10관 (Laser),용감한시민,112분,20231025,19:40,174석
CGV,CGV 강변,10관 (Laser),용감한시민,112분,20231025,22:00,176석
CGV,CGV 강변,씨네앤포레 (Laser),그대들은어떻게살것인가,124분,20231025,13:45,47석
CGV,CGV 강변,씨네앤포레 (Laser),그대들은어떻게살것인가,124분,20231025,16:30,45석
CGV,CGV 강변,씨네앤포레 (Laser),그대들은어떻게살것인가,124분,20231025,19:15,41석
CGV,CGV 강변,2관 [LCK관](Laser),그대들은어떻게살것인가,124분,20231025,12:00,183석
CGV,CGV 강변,2관 [LCK관](Laser),그대들은어떻게살것인가,124분,20231025,14:30,192석
CGV,CGV 강변,2관 [LCK관](Laser),그대들은어떻게살것인가,124분,20231025,17:00,133석
